season,episode,song_title,song_url,artist_name,artist_url
4,S4E5,Saved These Words,https://www.tunefind.com/song/138420/182642/,Laura Marling,https://www.tunefind.com/artist/laura-marling
4,S4E5,The Boy I Love is up in the Gallery,https://www.tunefind.com/song/138326/182525/,Dara MacMahon,https://www.tunefind.com/artist/dara-macmahon
4,S4E5,Bring it On,https://www.tunefind.com/song/139360/183902/,Martin Slattery and Antony Genn,https://www.tunefind.com/artist/martin-slattery-and-antony-genn
4,S4E6,Red Right Hand,https://www.tunefind.com/song/138740/183074/,Laura Marling,https://www.tunefind.com/artist/laura-marling
4,S4E6,Pyramid Song,https://www.tunefind.com/song/138739/183073/,Radiohead,https://www.tunefind.com/artist/radiohead
4,S4E6,A Hard Rain's a-Gonna Fall,https://www.tunefind.com/song/138751/183088/,Laura Marling,https://www.tunefind.com/artist/laura-marling
4,S4E6,Shutdown,https://www.tunefind.com/song/182834/243006/,Skepta,https://www.tunefind.com/artist/skepta
4,S4E6,Never Fight A Man With A Perm,https://www.tunefind.com/song/229497/359748/,IDLES,https://www.tunefind.com/artist/idles
5,S5E1,I'm a Man,https://www.tunefind.com/song/58081/297486/,Black Strobe,https://www.tunefind.com/artist/black-strobe
5,S5E1,The Wizard,https://www.tunefind.com/song/224528/297487/,Black Sabbath,https://www.tunefind.com/artist/black-sabbath
5,S5E1,Uber Capitalist Death Trade,https://www.tunefind.com/song/224529/297488/,Cabbage,https://www.tunefind.com/artist/cabbage
5,S5E1,You’re Not God (from ‘Peaky Blinders’ Original Soundtrack),https://www.tunefind.com/song/232104/313733/,Anna Calvi,https://www.tunefind.com/artist/anna-calvi
5,S5E2,Rider to the Sea,https://www.tunefind.com/song/36836/298312/,Anna Calvi,https://www.tunefind.com/artist/anna-calvi
5,S5E2,Love U 2 Death,https://www.tunefind.com/song/224872/298158/,The Darts (U.S.),https://www.tunefind.com/artist/the-darts-us
5,S5E2,Evil,https://www.tunefind.com/song/224852/298120/,Nadine Shah,https://www.tunefind.com/artist/nadine-shah
5,S5E3,Black Blood,https://www.tunefind.com/song/225926/299566/,The Pearl Harts,https://www.tunefind.com/artist/the-pearl-harts
5,S5E3,Lady Grinning Soul (Strange Weather EP),https://www.tunefind.com/song/225950/299599/,Anna Calvi,https://www.tunefind.com/artist/anna-calvi
5,S5E3,Out of the Black,https://www.tunefind.com/song/72377/319641/,Royal Blood,https://www.tunefind.com/artist/royal-blood
5,S5E3,ain't no grave,https://www.tunefind.com/song/225955/299611/,Anna Calvi,https://www.tunefind.com/artist/anna-calvi
5,S5E4,Papi Pacify,https://www.tunefind.com/song/224871/308308/,Anna Calvi,https://www.tunefind.com/artist/anna-calvi
5,S5E4,I'm the Man,https://www.tunefind.com/song/232550/308309/,Jehnny Beth,https://www.tunefind.com/artist/jehnny-beth
5,S5E4,The Last Hangman,https://www.tunefind.com/song/227192/301121/,Hotel Lux,https://www.tunefind.com/artist/hotel-lux
5,S5E4,Dona Nobis Pacem 2,https://www.tunefind.com/song/232551/308310/,Mari Samuelson,https://www.tunefind.com/artist/mari-samuelson
5,S5E4,Climbing up the Walls,https://www.tunefind.com/song/228213/321884/,Radiohead,https://www.tunefind.com/artist/radiohead
5,S5E4,Wish,https://www.tunefind.com/song/229544/304209/,Anna Calvi,https://www.tunefind.com/artist/anna-calvi
5,S5E5,Composition 7,https://www.tunefind.com/song/229857/304596/,Anna Calvi,https://www.tunefind.com/artist/anna-calvi
5,S5E5,Climbing up the Walls,https://www.tunefind.com/song/228213/302432/,Radiohead,https://www.tunefind.com/artist/radiohead
5,S5E5,Divide & Conquer,https://www.tunefind.com/song/228219/302450/,IDLES,https://www.tunefind.com/artist/idles
5,S5E5,Atmosphere,https://www.tunefind.com/song/114897/302415/,Joy Division,https://www.tunefind.com/artist/joy-division
5,S5E5,War Pigs,https://www.tunefind.com/song/216919/302413/,Black Sabbath,https://www.tunefind.com/artist/black-sabbath
5,S5E5,You’re Not God (from ‘Peaky Blinders’ Original Soundtrack),https://www.tunefind.com/song/232104/307700/,Anna Calvi,https://www.tunefind.com/artist/anna-calvi
5,S5E6,Composition 9,https://www.tunefind.com/song/229858/304597/,Anna Calvi,https://www.tunefind.com/artist/anna-calvi
5,S5E6,Wish,https://www.tunefind.com/song/229544/304201/,Anna Calvi,https://www.tunefind.com/artist/anna-calvi
5,S5E6,Ballad of a Thin Man,https://www.tunefind.com/song/229545/304202/,Richard Hawley,https://www.tunefind.com/artist/richard-hawley
5,S5E6,I'm Scum,https://www.tunefind.com/song/229511/304165/,IDLES,https://www.tunefind.com/artist/idles
5,S5E6,Never Fight A Man With A Perm,https://www.tunefind.com/song/229497/304148/,IDLES,https://www.tunefind.com/artist/idles
5,S5E6,"Episode 6: Composition 8 ""How My Mother Went""",https://www.tunefind.com/song/242387/320854/,Anna Calvi,https://www.tunefind.com/artist/anna-calvi
5,S5E6,Papi Pacify,https://www.tunefind.com/song/224871/304254/,Anna Calvi,https://www.tunefind.com/artist/anna-calvi
